id,title,author,text,label
,"Sexism in chemistry, FDA nomination and a long-lost ungulate",,"The latest science news, in brief.",1
,Central GST Delhi-West Commissionerate unearthed racket of issuance of fake invoices,,Central GST Delhi-West Commissionerate has unearthed racket of issuance of fake invoices without actual supply of goods and services by M/s Royal Sales India and 27 other dummy companies. Two persons have been arrested in this matter and remanded to judicial …,1
,Blog: Let opposition parties back into Kashmir,,"Whether you agree or disagree with the idea of getting 23 MPs from the European Union to visit Kashmir, the visit opened up key questions. Was it a limited public relations photo-op or the beginning...",1
,Police cautions people against fake news ahead of Ayodhya verdict,,"Respect Supreme Court’s judgment, SP tells people",1
,Govt. plans to split State: Ambedkar,,‘BJP using President’s Rule like in J&K’,1
,"Police crack whip against those sticking threatening posters in Valley, says IGP Pani",,The IGP said several persons have been arrested from different parts of the Valley including Srinagar.,1
,Congress stages walkout in Lok Sabha,,Speaker disallows Manish Tewary’s reference to PMO on electoral bonds issue.,1
,UK political morass deepens as Farage threatens Johnson,,"Leader of Brexit Party wants UK PM Johnson to join hands with him, as suggested by US President Trump.",1
,"Over 5,000 people arrested since August 4 in Kashmir: Home Ministry",,"These arrests were preventive in nature and a majority of those arrested have been released since. Currently, 609 people, 218 of whom are alleged stone pelters, continue to be under detention, Ministry of Home Affairs told Rajya Sabha during question hour.",1
,SC reserves verdict on pleas challenging curbs in J&K,,The Supreme Court reserved on Wednesday its verdict on a batch of pleas including that of Congress leader Ghulam Nabi Azad challenging the restriction imposed in the erstwhile state of Jammu and Kashm,1
,"Ayodhya on tenterhooks: Some shift out, others stocking up on ration",,"In Ayodhya these days, the air is thick with apprehension and anxiety. With the temple verdict expected any day now, the town’s residents are making whatever preparations they can — some are hoarding food and essentials, while others have quietly begun shifti…",1
,"Sexism in chemistry, FDA nomination and a long-lost ungulate",,"The latest science news, in brief.",1
,Ayodhya: How a religious issue became a political hot potato,,"Given its potential for communal polarisation, it could not ever be detached from politics",1
,"Soon, take chopper between Mumbai, Pune, Shirdi",,"Inaugural fares for Mumbai-Pune Rs 19,900, Mumbai-Shirdi at Rs 21,900 & Pune-Shirdi at Rs 18,900.",1
,"Finance Commission likely to get extension for working on devolution to UTs of J&K, Ladakh",,"According to the Act, the distribution of taxes suggested by the 15th Finance Commission to the state of Jammu and Kashmir will have to be apportioned to the Union Territories of J&K and Ladakh. The award made by the Fourteenth Finance Commission to the exist…",1
,Love of cash hinders India's move to digital economy,,"India's dependency on cash may slow the country's transition to digital payments despite large numbers of internet and mobile phone users. Sudhir Shinde, a farmer from Satara district in India's western state of Maharashtra says he withdraws more money from h…",1
